name:Tt Dragons,win_rate:0.4,avg_rating:0.0,avg_kills:8.74,avg_deaths:7.92,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.82,avg_fkdiff:0.17,rounds_won:11.2,maps_winrate:{nuke:0.5}
name:Afterlife Gaming,win_rate:0.0,avg_rating:0.0,avg_kills:2.6,avg_deaths:4.8,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-2.2,avg_fkdiff:-0.6,rounds_won:4.0,maps_winrate:{nuke:0.0}
name:hiGhrollers,win_rate:0.5,avg_rating:0.0,avg_kills:9.3,avg_deaths:6.0,avg_kast:0.0,avg_adr:0.0,avg_kddiff:3.3,avg_fkdiff:0.0,rounds_won:14.0,maps_winrate:{mrg:0.0}
name:Paranoia,win_rate:0.07,avg_rating:0.45,avg_kills:13.99,avg_deaths:11.89,avg_kast:0.29,avg_adr:31.1,avg_kddiff:2.09,avg_fkdiff:0.46,rounds_won:9.96,maps_winrate:{ovp:0.0,trn:0.0}
name:Lions,win_rate:0.17,avg_rating:0.64,avg_kills:13.77,avg_deaths:14.0,avg_kast:0.41,avg_adr:45.1,avg_kddiff:-0.23,avg_fkdiff:0.01,rounds_won:10.33,maps_winrate:{ovp:0.0,mrg:0.6}
name:Publiclir.se,win_rate:0.4,avg_rating:0.71,avg_kills:14.67,avg_deaths:15.27,avg_kast:0.47,avg_adr:52.2,avg_kddiff:-0.6,avg_fkdiff:-0.21,rounds_won:11.0,maps_winrate:{mrg:0.0,cch:0.7647058823529411}
name:GIVE IT ALL,win_rate:0.3,avg_rating:0.0,avg_kills:8.14,avg_deaths:6.83,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.31,avg_fkdiff:0.54,rounds_won:10.1,maps_winrate:{nuke:0.0,d2:1.0}
name:mTw,win_rate:0.58,avg_rating:0.0,avg_kills:10.75,avg_deaths:9.68,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.07,avg_fkdiff:0.67,rounds_won:14.83,maps_winrate:{nuke:0.75}
name:WinFakt,win_rate:0.0,avg_rating:0.0,avg_kills:8.9,avg_deaths:7.7,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.2,avg_fkdiff:0.6,rounds_won:11.0,maps_winrate:{inf:0.0,nuke:0.0}
name:FMESPORTS,win_rate:0.4,avg_rating:0.95,avg_kills:17.31,avg_deaths:17.18,avg_kast:0.62,avg_adr:65.9,avg_kddiff:0.13,avg_fkdiff:0.15,rounds_won:11.73,maps_winrate:{mrg:0.0,ovp:0.5}
name:eNigma,win_rate:0.0,avg_rating:0.0,avg_kills:4.4,avg_deaths:4.9,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.5,avg_fkdiff:0.1,rounds_won:5.5,maps_winrate:{inf:0.0}
name:gamed!de,win_rate:0.4,avg_rating:0.0,avg_kills:8.26,avg_deaths:7.07,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.19,avg_fkdiff:0.35,rounds_won:10.8,maps_winrate:{inf:0.0,d2:0.8}
name:gosu,win_rate:0.19,avg_rating:0.0,avg_kills:8.0,avg_deaths:7.4,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.6,avg_fkdiff:-0.01,rounds_won:10.44,maps_winrate:{mrg:0.0,d2:0.0}
name:TeamCRG,win_rate:0.25,avg_rating:0.0,avg_kills:6.2,avg_deaths:5.83,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.37,avg_fkdiff:0.28,rounds_won:9.33,maps_winrate:{inf:0.3}
name:VYE,win_rate:0.0,avg_rating:0.0,avg_kills:10.87,avg_deaths:7.87,avg_kast:0.0,avg_adr:0.0,avg_kddiff:3.0,avg_fkdiff:0.4,rounds_won:6.0,maps_winrate:{mrg:0.0}
name:MaxFloPlay,win_rate:0.37,avg_rating:0.0,avg_kills:9.11,avg_deaths:7.23,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.88,avg_fkdiff:0.35,rounds_won:10.74,maps_winrate:{inf:0.5}
name:4Kings,win_rate:0.25,avg_rating:0.0,avg_kills:7.8,avg_deaths:4.45,avg_kast:0.0,avg_adr:0.0,avg_kddiff:3.35,avg_fkdiff:0.8,rounds_won:11.25,maps_winrate:{nuke:0.0,trn:0.0}
name:aliquo,win_rate:0.25,avg_rating:0.0,avg_kills:12.27,avg_deaths:7.68,avg_kast:0.0,avg_adr:0.0,avg_kddiff:4.6,avg_fkdiff:0.98,rounds_won:8.88,maps_winrate:{inf:0.0,d2:0.0}
name:ALSEN,win_rate:0.27,avg_rating:0.0,avg_kills:8.13,avg_deaths:7.37,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.76,avg_fkdiff:0.2,rounds_won:9.64,maps_winrate:{mrg:0.33}
name:iNET koxXx,win_rate:0.17,avg_rating:0.0,avg_kills:6.73,avg_deaths:7.83,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-1.1,avg_fkdiff:0.13,rounds_won:10.17,maps_winrate:{trn:0.0,nuke:0.5}
name:mousesports,win_rate:0.33,avg_rating:0.0,avg_kills:8.15,avg_deaths:7.04,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.11,avg_fkdiff:0.29,rounds_won:10.75,maps_winrate:{nuke:0.0,d2:0.6666666666666666}
name:786,win_rate:0.0,avg_rating:0.0,avg_kills:6.5,avg_deaths:7.8,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-1.3,avg_fkdiff:0.8,rounds_won:9.5,maps_winrate:{inf:0.0,nuke:0.0}
name:zuom,win_rate:0.0,avg_rating:0.0,avg_kills:5.1,avg_deaths:5.4,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.3,avg_fkdiff:0.0,rounds_won:6.0,maps_winrate:{nuke:0.0}
name:NOD,win_rate:0.25,avg_rating:0.0,avg_kills:9.82,avg_deaths:7.98,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.85,avg_fkdiff:0.95,rounds_won:12.5,maps_winrate:{mrg:0.0}
name:SY&b,win_rate:0.5,avg_rating:0.0,avg_kills:11.55,avg_deaths:9.6,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.95,avg_fkdiff:0.2,rounds_won:12.5,maps_winrate:{inf:0.0,trn:1.0}
name:aSperaGamers,win_rate:0.25,avg_rating:0.0,avg_kills:6.75,avg_deaths:5.85,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.9,avg_fkdiff:-0.22,rounds_won:8.38,maps_winrate:{d2:0.0,trn:0.0}
name:ESC,win_rate:0.27,avg_rating:0.06,avg_kills:9.61,avg_deaths:9.63,avg_kast:0.04,avg_adr:4.6,avg_kddiff:-0.02,avg_fkdiff:0.09,rounds_won:10.33,maps_winrate:{nuke:0.0,mrg:0.651685393258427}
name:Clan Poland,win_rate:0.5,avg_rating:0.0,avg_kills:7.23,avg_deaths:5.17,avg_kast:0.0,avg_adr:0.0,avg_kddiff:2.07,avg_fkdiff:-0.33,rounds_won:9.33,maps_winrate:{d2:0.0,inf:1.0}
name:BoomSlave,win_rate:0.0,avg_rating:0.0,avg_kills:7.35,avg_deaths:7.3,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.05,avg_fkdiff:-0.1,rounds_won:9.5,maps_winrate:{d2:0.0,mrg:0.0}
name:UniversalSoldiers,win_rate:0.37,avg_rating:0.0,avg_kills:8.65,avg_deaths:7.42,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.23,avg_fkdiff:0.21,rounds_won:9.93,maps_winrate:{mrg:0.0,cch:1.0}
name:DELTA,win_rate:0.38,avg_rating:0.0,avg_kills:6.98,avg_deaths:7.05,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.08,avg_fkdiff:0.19,rounds_won:11.35,maps_winrate:{trn:0.0,mrg:1.0}
name:LowLandLions,win_rate:0.3,avg_rating:1.11,avg_kills:17.31,avg_deaths:16.23,avg_kast:0.71,avg_adr:76.31,avg_kddiff:1.08,avg_fkdiff:-0.01,rounds_won:10.5,maps_winrate:{anc:0.0,mrg:0.53125}
name:ProGaming.TD,win_rate:0.25,avg_rating:0.0,avg_kills:6.49,avg_deaths:6.51,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.03,avg_fkdiff:-0.01,rounds_won:9.31,maps_winrate:{mrg:0.0,d2:1.0}
name:Area 51,win_rate:0.28,avg_rating:0.0,avg_kills:10.64,avg_deaths:8.66,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.99,avg_fkdiff:0.78,rounds_won:9.72,maps_winrate:{nuke:0.0,d2:1.0}
name:Anexis,win_rate:0.33,avg_rating:0.0,avg_kills:7.75,avg_deaths:7.13,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.61,avg_fkdiff:0.15,rounds_won:10.1,maps_winrate:{inf:0.0,mrg:0.7368421052631579}
name:Virtus.pro,win_rate:0.3,avg_rating:1.1,avg_kills:16.07,avg_deaths:14.84,avg_kast:0.72,avg_adr:73.28,avg_kddiff:1.23,avg_fkdiff:0.32,rounds_won:10.57,maps_winrate:{ovp:0.0,inf:0.6974169741697417}
name:EYES ON U,win_rate:0.3,avg_rating:0.39,avg_kills:11.93,avg_deaths:12.6,avg_kast:0.26,avg_adr:28.67,avg_kddiff:-0.67,avg_fkdiff:-0.21,rounds_won:10.87,maps_winrate:{cch:0.0,d2:0.5833333333333334}
name:3DMAX,win_rate:0.33,avg_rating:1.07,avg_kills:16.41,avg_deaths:15.86,avg_kast:0.7,avg_adr:75.04,avg_kddiff:0.55,avg_fkdiff:0.17,rounds_won:10.4,maps_winrate:{ovp:0.0,inf:0.7373737373737373}
name:CPH Wolves,win_rate:0.33,avg_rating:0.99,avg_kills:16.15,avg_deaths:16.09,avg_kast:0.65,avg_adr:70.9,avg_kddiff:0.06,avg_fkdiff:-0.07,rounds_won:10.87,maps_winrate:{d2:0.34}
name:Tribute To Sylvester,win_rate:0.0,avg_rating:0.0,avg_kills:6.8,avg_deaths:13.0,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-6.2,avg_fkdiff:-0.8,rounds_won:6.0,maps_winrate:{trn:0.0}
name:Millenium,win_rate:0.23,avg_rating:1.02,avg_kills:17.06,avg_deaths:17.84,avg_kast:0.68,avg_adr:74.45,avg_kddiff:-0.78,avg_fkdiff:-0.42,rounds_won:10.36,maps_winrate:{cbl:0.0,ovp:0.6}
name:BX3,win_rate:0.3,avg_rating:1.15,avg_kills:17.69,avg_deaths:16.05,avg_kast:0.72,avg_adr:79.0,avg_kddiff:1.64,avg_fkdiff:0.26,rounds_won:10.2,maps_winrate:{cch:0.0,ovp:0.625}
name:Temp.no,win_rate:0.23,avg_rating:0.66,avg_kills:14.37,avg_deaths:15.2,avg_kast:0.43,avg_adr:48.82,avg_kddiff:-0.84,avg_fkdiff:-0.09,rounds_won:10.31,maps_winrate:{mrg:0.0,ovp:0.3333333333333333}
name:Western Wolves,win_rate:0.3,avg_rating:0.0,avg_kills:8.34,avg_deaths:7.63,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.71,avg_fkdiff:0.34,rounds_won:10.66,maps_winrate:{trn:0.0,inf:0.6818181818181818}
name:RuSh3D,win_rate:0.27,avg_rating:1.04,avg_kills:17.72,avg_deaths:18.13,avg_kast:0.68,avg_adr:75.12,avg_kddiff:-0.41,avg_fkdiff:0.28,rounds_won:11.07,maps_winrate:{inf:0.0,trn:0.7894736842105263}
name:Absolute Legends,win_rate:0.3,avg_rating:0.15,avg_kills:9.71,avg_deaths:8.64,avg_kast:0.1,avg_adr:9.83,avg_kddiff:1.07,avg_fkdiff:0.38,rounds_won:11.38,maps_winrate:{d2:0.0,trn:0.3333333333333333}
name:Imaginary,win_rate:0.27,avg_rating:0.0,avg_kills:8.21,avg_deaths:7.89,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.31,avg_fkdiff:0.12,rounds_won:10.13,maps_winrate:{inf:0.0,mrg:0.5714285714285714}
name:Hawks,win_rate:0.3,avg_rating:0.88,avg_kills:14.92,avg_deaths:16.02,avg_kast:0.57,avg_adr:62.18,avg_kddiff:-1.1,avg_fkdiff:-0.29,rounds_won:10.0,maps_winrate:{inf:0.0,nuke:1.0}
name:redzone,win_rate:0.5,avg_rating:0.0,avg_kills:7.6,avg_deaths:6.57,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.03,avg_fkdiff:0.37,rounds_won:10.17,maps_winrate:{trn:0.0,nuke:1.0}
name:dAT,win_rate:0.37,avg_rating:0.26,avg_kills:10.9,avg_deaths:9.79,avg_kast:0.17,avg_adr:18.32,avg_kddiff:1.11,avg_fkdiff:0.13,rounds_won:10.83,maps_winrate:{ovp:0.0,mrg:0.6896551724137931}
name:FR34KSHOW,win_rate:0.56,avg_rating:0.6,avg_kills:15.38,avg_deaths:14.53,avg_kast:0.39,avg_adr:42.14,avg_kddiff:0.84,avg_fkdiff:0.6,rounds_won:14.78,maps_winrate:{trn:0.5}
name:eXtensive,win_rate:0.25,avg_rating:0.0,avg_kills:10.26,avg_deaths:8.08,avg_kast:0.0,avg_adr:0.0,avg_kddiff:2.19,avg_fkdiff:0.39,rounds_won:10.32,maps_winrate:{nuke:0.0,mrg:0.0}
name:fnatic,win_rate:0.37,avg_rating:1.1,avg_kills:17.46,avg_deaths:16.68,avg_kast:0.72,avg_adr:74.78,avg_kddiff:0.78,avg_fkdiff:-0.17,rounds_won:11.43,maps_winrate:{anc:0.0,nuke:0.728}
name:Curse,win_rate:0.27,avg_rating:0.0,avg_kills:8.06,avg_deaths:8.63,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.57,avg_fkdiff:0.01,rounds_won:9.9,maps_winrate:{d2:0.0,inf:0.6}
name:Dynamic,win_rate:0.25,avg_rating:0.0,avg_kills:8.73,avg_deaths:7.98,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.75,avg_fkdiff:0.43,rounds_won:11.7,maps_winrate:{inf:0.0,trn:0.0}
