name:Netherlands,win_rate:0.23,avg_rating:0.32,avg_kills:11.76,avg_deaths:11.17,avg_kast:0.2,avg_adr:22.05,avg_kddiff:0.59,avg_fkdiff:0.18,rounds_won:9.97,maps_winrate:{mrg:0.33}
name:Austria,win_rate:0.13,avg_rating:0.7,avg_kills:14.31,avg_deaths:13.88,avg_kast:0.47,avg_adr:50.21,avg_kddiff:0.43,avg_fkdiff:0.16,rounds_won:9.98,maps_winrate:{ovp:0.0,inf:0.25}
name:Latvia,win_rate:0.27,avg_rating:0.19,avg_kills:9.19,avg_deaths:7.58,avg_kast:0.12,avg_adr:13.22,avg_kddiff:1.61,avg_fkdiff:0.47,rounds_won:9.42,maps_winrate:{d2:0.0,trn:0.0}
name:Serbia,win_rate:0.33,avg_rating:0.27,avg_kills:10.79,avg_deaths:9.7,avg_kast:0.17,avg_adr:18.37,avg_kddiff:1.09,avg_fkdiff:0.33,rounds_won:10.37,maps_winrate:{trn:0.0,inf:0.875}
name:Lithuania,win_rate:0.33,avg_rating:0.4,avg_kills:11.29,avg_deaths:10.28,avg_kast:0.27,avg_adr:29.8,avg_kddiff:1.02,avg_fkdiff:0.54,rounds_won:10.97,maps_winrate:{cbl:0.0,mrg:0.6}
name:Bosnia & Herzegovina,win_rate:0.37,avg_rating:0.22,avg_kills:9.67,avg_deaths:9.36,avg_kast:0.15,avg_adr:16.26,avg_kddiff:0.31,avg_fkdiff:0.15,rounds_won:10.23,maps_winrate:{mrg:0.44}
name:momo momo,win_rate:0.36,avg_rating:0.0,avg_kills:6.91,avg_deaths:6.66,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.25,avg_fkdiff:-0.0,rounds_won:10.1,maps_winrate:{inf:0.0,d2:0.3333333333333333}
name:oXzone,win_rate:0.28,avg_rating:0.12,avg_kills:7.64,avg_deaths:6.49,avg_kast:0.08,avg_adr:8.09,avg_kddiff:1.15,avg_fkdiff:0.17,rounds_won:9.06,maps_winrate:{inf:0.0,trn:0.0}
name:First_online_then_LAN,win_rate:0.0,avg_rating:0.0,avg_kills:9.0,avg_deaths:9.4,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.4,avg_fkdiff:0.4,rounds_won:11.5,maps_winrate:{mrg:0.0,inf:0.0}
name:Ukraine,win_rate:0.4,avg_rating:0.87,avg_kills:14.65,avg_deaths:14.91,avg_kast:0.56,avg_adr:62.27,avg_kddiff:-0.26,avg_fkdiff:-0.18,rounds_won:11.24,maps_winrate:{mrg:0.0,d2:0.7}
name:Finland,win_rate:0.4,avg_rating:0.35,avg_kills:10.62,avg_deaths:10.25,avg_kast:0.22,avg_adr:25.06,avg_kddiff:0.37,avg_fkdiff:0.36,rounds_won:10.85,maps_winrate:{cch:0.0,d2:0.8888888888888888}
name:Portugal,win_rate:0.37,avg_rating:0.54,avg_kills:12.02,avg_deaths:10.54,avg_kast:0.33,avg_adr:35.58,avg_kddiff:1.48,avg_fkdiff:0.1,rounds_won:9.57,maps_winrate:{mrg:0.0,d2:0.8181818181818182}
name:T.O.S.,win_rate:0.25,avg_rating:0.0,avg_kills:5.7,avg_deaths:5.9,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.2,avg_fkdiff:0.05,rounds_won:10.5,maps_winrate:{mrg:0.0,nuke:1.0}
name:EYESports,win_rate:0.33,avg_rating:0.93,avg_kills:15.66,avg_deaths:16.09,avg_kast:0.61,avg_adr:68.86,avg_kddiff:-0.43,avg_fkdiff:-0.28,rounds_won:10.61,maps_winrate:{cbl:0.0,d2:0.6}
name:United Kingdom,win_rate:0.35,avg_rating:0.18,avg_kills:9.84,avg_deaths:10.28,avg_kast:0.12,avg_adr:13.22,avg_kddiff:-0.44,avg_fkdiff:0.08,rounds_won:10.47,maps_winrate:{mrg:0.0,d2:0.6666666666666666}
name:Germany,win_rate:0.3,avg_rating:0.48,avg_kills:13.04,avg_deaths:13.54,avg_kast:0.31,avg_adr:33.79,avg_kddiff:-0.51,avg_fkdiff:-0.01,rounds_won:10.51,maps_winrate:{d2:0.0,anc:1.0}
name:E-Frag,win_rate:0.25,avg_rating:0.0,avg_kills:8.88,avg_deaths:8.98,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.1,avg_fkdiff:0.03,rounds_won:10.74,maps_winrate:{inf:0.0,mrg:0.3333333333333333}
name:Slovakia,win_rate:0.3,avg_rating:0.86,avg_kills:14.98,avg_deaths:15.72,avg_kast:0.58,avg_adr:60.77,avg_kddiff:-0.73,avg_fkdiff:-0.06,rounds_won:11.06,maps_winrate:{mrg:0.0,ovp:0.0}
name:Belgium,win_rate:0.3,avg_rating:0.89,avg_kills:15.16,avg_deaths:15.25,avg_kast:0.57,avg_adr:62.03,avg_kddiff:-0.09,avg_fkdiff:0.11,rounds_won:10.03,maps_winrate:{mrg:0.0,inf:0.5}
name:Bravado,win_rate:0.37,avg_rating:1.07,avg_kills:16.58,avg_deaths:16.35,avg_kast:0.69,avg_adr:74.69,avg_kddiff:0.23,avg_fkdiff:0.12,rounds_won:10.63,maps_winrate:{inf:0.0,vtg:1.0}
name:Damage Control,win_rate:0.33,avg_rating:1.12,avg_kills:16.13,avg_deaths:15.31,avg_kast:0.71,avg_adr:76.61,avg_kddiff:0.81,avg_fkdiff:0.16,rounds_won:9.63,maps_winrate:{mrg:0.33}
name:Russia,win_rate:0.3,avg_rating:0.83,avg_kills:16.34,avg_deaths:16.28,avg_kast:0.54,avg_adr:58.67,avg_kddiff:0.06,avg_fkdiff:-0.11,rounds_won:10.2,maps_winrate:{cbl:0.0,mrg:0.8461538461538461}
name:Sweden,win_rate:0.37,avg_rating:0.83,avg_kills:15.91,avg_deaths:15.93,avg_kast:0.53,avg_adr:59.38,avg_kddiff:-0.01,avg_fkdiff:0.14,rounds_won:10.8,maps_winrate:{trn:0.0,inf:0.9333333333333333}
name:Denmark,win_rate:0.33,avg_rating:0.52,avg_kills:12.7,avg_deaths:12.65,avg_kast:0.34,avg_adr:37.21,avg_kddiff:0.05,avg_fkdiff:-0.25,rounds_won:10.6,maps_winrate:{mrg:0.0,trn:1.0}
name:SK,win_rate:0.37,avg_rating:1.1,avg_kills:16.85,avg_deaths:16.25,avg_kast:0.72,avg_adr:75.56,avg_kddiff:0.61,avg_fkdiff:0.01,rounds_won:10.8,maps_winrate:{d2:0.0,trn:0.732824427480916}
name:teamKR,win_rate:0.3,avg_rating:0.0,avg_kills:9.29,avg_deaths:6.45,avg_kast:0.0,avg_adr:0.0,avg_kddiff:2.84,avg_fkdiff:0.73,rounds_won:8.3,maps_winrate:{inf:0.0,cch:0.6666666666666666}
name:pod,win_rate:0.38,avg_rating:0.0,avg_kills:8.72,avg_deaths:8.95,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.22,avg_fkdiff:-0.18,rounds_won:10.62,maps_winrate:{d2:0.0,inf:0.5}
name:plan G,win_rate:0.0,avg_rating:0.0,avg_kills:5.7,avg_deaths:10.5,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-4.8,avg_fkdiff:-0.7,rounds_won:6.0,maps_winrate:{cch:0.0}
name:Evil Sharks,win_rate:0.0,avg_rating:0.0,avg_kills:5.8,avg_deaths:3.8,avg_kast:0.0,avg_adr:0.0,avg_kddiff:2.0,avg_fkdiff:1.0,rounds_won:6.0,maps_winrate:{d2:0.0}
name:Wild Fire,win_rate:0.32,avg_rating:0.0,avg_kills:8.73,avg_deaths:8.79,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.06,avg_fkdiff:0.24,rounds_won:11.57,maps_winrate:{d2:0.0,inf:0.7142857142857143}
name:Death.Energy,win_rate:0.47,avg_rating:0.0,avg_kills:11.63,avg_deaths:10.03,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.6,avg_fkdiff:0.57,rounds_won:15.4,maps_winrate:{d2:0.57}
name:Poland,win_rate:0.33,avg_rating:0.69,avg_kills:15.75,avg_deaths:16.54,avg_kast:0.46,avg_adr:49.88,avg_kddiff:-0.79,avg_fkdiff:0.01,rounds_won:11.63,maps_winrate:{ovp:0.0,d2:0.7777777777777778}
name:SCHUMMLER!,win_rate:0.25,avg_rating:0.0,avg_kills:8.45,avg_deaths:6.15,avg_kast:0.0,avg_adr:0.0,avg_kddiff:2.3,avg_fkdiff:0.37,rounds_won:9.0,maps_winrate:{nuke:0.0,cch:1.0}
name:THiS iS,win_rate:0.0,avg_rating:0.0,avg_kills:0.0,avg_deaths:1.0,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-1.0,avg_fkdiff:-0.2,rounds_won:0.0,maps_winrate:{d2:0.0}
name:WARMAKER,win_rate:0.5,avg_rating:0.0,avg_kills:7.95,avg_deaths:4.2,avg_kast:0.0,avg_adr:0.0,avg_kddiff:3.75,avg_fkdiff:1.05,rounds_won:10.0,maps_winrate:{d2:0.0,inf:1.0}
name:France,win_rate:0.3,avg_rating:0.8,avg_kills:15.01,avg_deaths:14.18,avg_kast:0.5,avg_adr:55.79,avg_kddiff:0.83,avg_fkdiff:0.12,rounds_won:10.7,maps_winrate:{trn:0.0,ovp:0.25}
name:Planetkey,win_rate:0.17,avg_rating:1.08,avg_kills:17.19,avg_deaths:17.11,avg_kast:0.7,avg_adr:75.24,avg_kddiff:0.08,avg_fkdiff:0.05,rounds_won:9.73,maps_winrate:{trn:0.0,nuke:0.5769230769230769}
name:TopGun,win_rate:0.0,avg_rating:0.0,avg_kills:7.0,avg_deaths:4.0,avg_kast:0.0,avg_adr:0.0,avg_kddiff:3.0,avg_fkdiff:0.0,rounds_won:7.0,maps_winrate:{cch:0.0}
name:Engine,win_rate:0.33,avg_rating:0.0,avg_kills:7.47,avg_deaths:4.83,avg_kast:0.0,avg_adr:0.0,avg_kddiff:2.63,avg_fkdiff:0.37,rounds_won:10.17,maps_winrate:{mrg:0.0,d2:0.0}
name:OxYburn,win_rate:0.0,avg_rating:0.0,avg_kills:7.4,avg_deaths:12.0,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-4.6,avg_fkdiff:-0.6,rounds_won:8.0,maps_winrate:{inf:0.0}
name:LeetGamerZ,win_rate:1.0,avg_rating:0.0,avg_kills:6.4,avg_deaths:4.2,avg_kast:0.0,avg_adr:0.0,avg_kddiff:2.2,avg_fkdiff:-0.2,rounds_won:16.0,maps_winrate:{inf:1.0}
name:C3 Gaming,win_rate:0.0,avg_rating:0.0,avg_kills:0.47,avg_deaths:2.33,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-1.87,avg_fkdiff:-0.2,rounds_won:1.33,maps_winrate:{inf:0.0}
name:ETERNiTY,win_rate:0.0,avg_rating:0.0,avg_kills:2.0,avg_deaths:0.73,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.27,avg_fkdiff:0.27,rounds_won:1.0,maps_winrate:{inf:0.0}
name:ACES,win_rate:0.43,avg_rating:0.07,avg_kills:8.79,avg_deaths:7.89,avg_kast:0.04,avg_adr:4.82,avg_kddiff:0.91,avg_fkdiff:0.39,rounds_won:10.43,maps_winrate:{inf:0.0,cch:1.0}
name:Vox Eminor,win_rate:0.43,avg_rating:0.0,avg_kills:8.63,avg_deaths:8.54,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.09,avg_fkdiff:-0.01,rounds_won:10.17,maps_winrate:{inf:0.0,mrg:1.0}
name:nxl,win_rate:0.13,avg_rating:1.13,avg_kills:17.08,avg_deaths:16.03,avg_kast:0.7,avg_adr:77.04,avg_kddiff:1.05,avg_fkdiff:0.29,rounds_won:8.77,maps_winrate:{mrg:0.0,d2:0.5625}
name:Falood Jacksons,win_rate:0.0,avg_rating:0.0,avg_kills:4.6,avg_deaths:1.6,avg_kast:0.0,avg_adr:0.0,avg_kddiff:3.0,avg_fkdiff:0.6,rounds_won:4.0,maps_winrate:{d2:0.0}
name:Team LZ,win_rate:0.0,avg_rating:0.0,avg_kills:4.8,avg_deaths:5.6,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.8,avg_fkdiff:0.6,rounds_won:6.0,maps_winrate:{trn:0.0}
name:H5,win_rate:0.0,avg_rating:0.0,avg_kills:5.2,avg_deaths:4.0,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.2,avg_fkdiff:0.2,rounds_won:6.0,maps_winrate:{d2:0.0}
name:TYLOO,win_rate:0.27,avg_rating:1.0,avg_kills:15.89,avg_deaths:17.39,avg_kast:0.68,avg_adr:70.3,avg_kddiff:-1.51,avg_fkdiff:-0.05,rounds_won:10.23,maps_winrate:{inf:0.0,anc:0.6521739130434783}
name:Legends,win_rate:0.33,avg_rating:1.1,avg_kills:17.99,avg_deaths:15.42,avg_kast:0.69,avg_adr:73.93,avg_kddiff:2.58,avg_fkdiff:0.5,rounds_won:10.33,maps_winrate:{vtg:0.0,cch:0.0}
name:inchk1ng,win_rate:0.43,avg_rating:0.77,avg_kills:13.53,avg_deaths:14.28,avg_kast:0.53,avg_adr:57.1,avg_kddiff:-0.75,avg_fkdiff:-0.25,rounds_won:11.1,maps_winrate:{d2:0.0,mrg:0.8333333333333334}
name:Nface,win_rate:0.3,avg_rating:1.09,avg_kills:17.13,avg_deaths:17.31,avg_kast:0.7,avg_adr:76.98,avg_kddiff:-0.18,avg_fkdiff:0.06,rounds_won:10.26,maps_winrate:{d2:0.0,cbl:0.3333333333333333}
name:Recursive,win_rate:0.37,avg_rating:0.8,avg_kills:14.17,avg_deaths:13.82,avg_kast:0.51,avg_adr:57.71,avg_kddiff:0.34,avg_fkdiff:0.13,rounds_won:10.05,maps_winrate:{trn:0.0,d2:0.7777777777777778}
name:iBUYPOWER,win_rate:0.37,avg_rating:0.0,avg_kills:9.73,avg_deaths:7.53,avg_kast:0.0,avg_adr:0.0,avg_kddiff:2.2,avg_fkdiff:0.4,rounds_won:11.08,maps_winrate:{inf:0.0,cch:0.8333333333333334}
name:Team Thorin,win_rate:0.0,avg_rating:0.0,avg_kills:10.0,avg_deaths:5.6,avg_kast:0.0,avg_adr:0.0,avg_kddiff:4.4,avg_fkdiff:0.8,rounds_won:10.0,maps_winrate:{mrg:0.0,trn:0.0}
name:Team lurppis,win_rate:1.0,avg_rating:0.0,avg_kills:12.2,avg_deaths:10.5,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.7,avg_fkdiff:1.2,rounds_won:16.0,maps_winrate:{mrg:1.0}
name:Mistral,win_rate:0.33,avg_rating:0.0,avg_kills:6.9,avg_deaths:5.5,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.4,avg_fkdiff:0.4,rounds_won:9.0,maps_winrate:{inf:0.0,d2:0.5}
name:TC,win_rate:0.0,avg_rating:0.0,avg_kills:6.9,avg_deaths:5.4,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.5,avg_fkdiff:0.9,rounds_won:8.5,maps_winrate:{trn:0.0,d2:0.0}
name:über G33KZ,win_rate:0.42,avg_rating:0.0,avg_kills:7.82,avg_deaths:7.05,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.77,avg_fkdiff:0.28,rounds_won:11.0,maps_winrate:{inf:0.0,d2:1.0}
name:AliGon,win_rate:0.4,avg_rating:0.82,avg_kills:14.56,avg_deaths:14.53,avg_kast:0.53,avg_adr:58.51,avg_kddiff:0.03,avg_fkdiff:-0.03,rounds_won:10.63,maps_winrate:{mrg:0.0,cch:0.7058823529411765}
name:Divine,win_rate:0.27,avg_rating:1.01,avg_kills:16.81,avg_deaths:17.64,avg_kast:0.67,avg_adr:72.95,avg_kddiff:-0.83,avg_fkdiff:-0.49,rounds_won:10.27,maps_winrate:{inf:0.0,ovp:0.42857142857142855}
name:MYM,win_rate:0.23,avg_rating:0.0,avg_kills:7.51,avg_deaths:6.76,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.74,avg_fkdiff:0.23,rounds_won:9.5,maps_winrate:{mrg:0.0,trn:0.6666666666666666}
name:mediokert,win_rate:0.0,avg_rating:0.0,avg_kills:1.6,avg_deaths:5.0,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-3.4,avg_fkdiff:-0.6,rounds_won:4.0,maps_winrate:{inf:0.0}
name:CIO,win_rate:0.0,avg_rating:0.0,avg_kills:4.4,avg_deaths:3.2,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.2,avg_fkdiff:0.2,rounds_won:4.0,maps_winrate:{d2:0.0}
name:GAMEPLAY,win_rate:0.0,avg_rating:0.0,avg_kills:4.2,avg_deaths:6.6,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-2.4,avg_fkdiff:-0.4,rounds_won:7.0,maps_winrate:{d2:0.0}
name:GamePub,win_rate:0.27,avg_rating:1.14,avg_kills:17.8,avg_deaths:16.33,avg_kast:0.72,avg_adr:77.77,avg_kddiff:1.47,avg_fkdiff:0.43,rounds_won:10.17,maps_winrate:{inf:0.0,mrg:0.625}
name:AGAiN,win_rate:0.43,avg_rating:0.0,avg_kills:10.2,avg_deaths:10.81,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.61,avg_fkdiff:-0.07,rounds_won:11.71,maps_winrate:{d2:0.0,trn:1.0}
name:ESEA All-Stars #1,win_rate:0.0,avg_rating:0.0,avg_kills:4.0,avg_deaths:0.8,avg_kast:0.0,avg_adr:0.0,avg_kddiff:3.2,avg_fkdiff:0.0,rounds_won:3.0,maps_winrate:{d2:0.0}
name:ESEA All-Stars #2,win_rate:1.0,avg_rating:0.0,avg_kills:7.4,avg_deaths:13.6,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-6.2,avg_fkdiff:-0.2,rounds_won:16.0,maps_winrate:{d2:1.0}
name:mouseSpaz,win_rate:0.33,avg_rating:0.4,avg_kills:11.34,avg_deaths:11.77,avg_kast:0.26,avg_adr:29.68,avg_kddiff:-0.43,avg_fkdiff:-0.14,rounds_won:10.3,maps_winrate:{cch:0.0,trn:0.5}
name:United5,win_rate:0.2,avg_rating:0.0,avg_kills:6.98,avg_deaths:7.6,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.62,avg_fkdiff:-0.8,rounds_won:10.3,maps_winrate:{d2:0.0,cch:0.0}
name:Titan,win_rate:0.4,avg_rating:0.58,avg_kills:12.79,avg_deaths:13.61,avg_kast:0.39,avg_adr:42.36,avg_kddiff:-0.82,avg_fkdiff:0.05,rounds_won:10.53,maps_winrate:{trn:0.0,d2:0.7325581395348837}
name:jQntefabrikkeN,win_rate:0.38,avg_rating:0.0,avg_kills:9.67,avg_deaths:8.92,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.75,avg_fkdiff:0.16,rounds_won:11.38,maps_winrate:{mrg:0.0,cch:1.0}
name:Property,win_rate:0.23,avg_rating:0.89,avg_kills:16.75,avg_deaths:16.77,avg_kast:0.57,avg_adr:61.78,avg_kddiff:-0.01,avg_fkdiff:-0.21,rounds_won:11.33,maps_winrate:{inf:0.0,mrg:0.5384615384615384}
name:Worth.It,win_rate:0.5,avg_rating:0.0,avg_kills:9.75,avg_deaths:10.55,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.8,avg_fkdiff:-0.1,rounds_won:11.0,maps_winrate:{nuke:0.0,d2:1.0}
name:H2k,win_rate:0.23,avg_rating:0.0,avg_kills:8.62,avg_deaths:7.22,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.4,avg_fkdiff:0.45,rounds_won:10.62,maps_winrate:{mrg:0.0,inf:0.5833333333333334}
name:TheHEIST,win_rate:0.25,avg_rating:0.0,avg_kills:4.15,avg_deaths:6.35,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-2.2,avg_fkdiff:-0.65,rounds_won:9.0,maps_winrate:{d2:0.0,inf:1.0}
name:Pulse,win_rate:0.25,avg_rating:0.0,avg_kills:8.44,avg_deaths:7.82,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.62,avg_fkdiff:0.21,rounds_won:9.78,maps_winrate:{ovp:0.0,mrg:0.0}
name:CyberPc,win_rate:0.0,avg_rating:0.0,avg_kills:4.6,avg_deaths:3.4,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.2,avg_fkdiff:0.2,rounds_won:5.0,maps_winrate:{mrg:0.0}
name:webSPELL,win_rate:0.38,avg_rating:0.44,avg_kills:11.51,avg_deaths:13.18,avg_kast:0.31,avg_adr:33.02,avg_kddiff:-1.66,avg_fkdiff:-0.1,rounds_won:11.56,maps_winrate:{ovp:0.0,inf:1.0}
name:zX9,win_rate:0.0,avg_rating:0.0,avg_kills:7.0,avg_deaths:7.9,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.9,avg_fkdiff:-0.2,rounds_won:10.5,maps_winrate:{inf:0.0,d2:0.0}
name:Minttu,win_rate:0.3,avg_rating:0.42,avg_kills:11.74,avg_deaths:10.71,avg_kast:0.28,avg_adr:29.22,avg_kddiff:1.03,avg_fkdiff:0.17,rounds_won:11.02,maps_winrate:{mrg:0.0,ovp:1.0}
name:Team Ozone,win_rate:1.0,avg_rating:0.0,avg_kills:12.8,avg_deaths:7.9,avg_kast:0.0,avg_adr:0.0,avg_kddiff:4.9,avg_fkdiff:-0.2,rounds_won:16.0,maps_winrate:{inf:1.0}
name:Team Gamershop,win_rate:0.0,avg_rating:0.0,avg_kills:5.4,avg_deaths:6.4,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-1.0,avg_fkdiff:0.1,rounds_won:7.5,maps_winrate:{inf:0.0}
name:partyastronauts,win_rate:0.15,avg_rating:0.0,avg_kills:8.56,avg_deaths:7.62,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.94,avg_fkdiff:0.36,rounds_won:9.28,maps_winrate:{inf:0.0,cch:0.0}
name:Menace,win_rate:0.33,avg_rating:0.33,avg_kills:12.06,avg_deaths:11.71,avg_kast:0.23,avg_adr:25.5,avg_kddiff:0.35,avg_fkdiff:0.11,rounds_won:10.92,maps_winrate:{cbl:0.0,cch:0.75}
name:mysterious,win_rate:0.0,avg_rating:0.4,avg_kills:12.1,avg_deaths:7.07,avg_kast:0.24,avg_adr:25.38,avg_kddiff:5.03,avg_fkdiff:0.73,rounds_won:9.0,maps_winrate:{nuke:0.0,inf:0.0}
name:TEAMSWAGYOLO,win_rate:0.33,avg_rating:0.57,avg_kills:13.63,avg_deaths:14.47,avg_kast:0.4,avg_adr:43.55,avg_kddiff:-0.84,avg_fkdiff:-0.32,rounds_won:11.35,maps_winrate:{trn:0.0,mrg:0.6}
name:97club,win_rate:0.37,avg_rating:0.12,avg_kills:10.41,avg_deaths:9.8,avg_kast:0.09,avg_adr:9.54,avg_kddiff:0.62,avg_fkdiff:0.31,rounds_won:10.72,maps_winrate:{inf:0.0,trn:1.0}
name:NOTBAD,win_rate:0.3,avg_rating:1.1,avg_kills:16.54,avg_deaths:14.52,avg_kast:0.69,avg_adr:73.36,avg_kddiff:2.02,avg_fkdiff:0.24,rounds_won:9.7,maps_winrate:{d2:0.0,nuke:0.5}
name:haxiere,win_rate:1.0,avg_rating:0.0,avg_kills:12.3,avg_deaths:9.0,avg_kast:0.0,avg_adr:0.0,avg_kddiff:3.3,avg_fkdiff:0.2,rounds_won:16.0,maps_winrate:{nuke:1.0}
name:rudy102,win_rate:0.0,avg_rating:0.0,avg_kills:4.3,avg_deaths:6.7,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-2.4,avg_fkdiff:-0.5,rounds_won:7.0,maps_winrate:{nuke:0.0}
name:HyperShots,win_rate:1.0,avg_rating:0.0,avg_kills:13.7,avg_deaths:8.0,avg_kast:0.0,avg_adr:0.0,avg_kddiff:5.7,avg_fkdiff:0.6,rounds_won:16.0,maps_winrate:{inf:1.0}
name:NONsens3,win_rate:0.0,avg_rating:0.0,avg_kills:8.0,avg_deaths:6.5,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.5,avg_fkdiff:0.7,rounds_won:9.5,maps_winrate:{inf:0.0,d2:0.0}
name:YDK.ME,win_rate:0.0,avg_rating:0.0,avg_kills:4.2,avg_deaths:3.6,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.6,avg_fkdiff:1.0,rounds_won:4.0,maps_winrate:{inf:0.0}
name:UNKNOWN,win_rate:1.0,avg_rating:0.0,avg_kills:8.8,avg_deaths:13.8,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-5.0,avg_fkdiff:-0.2,rounds_won:16.0,maps_winrate:{inf:1.0}
name:Northern Lions,win_rate:0.0,avg_rating:0.0,avg_kills:3.8,avg_deaths:4.0,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.2,avg_fkdiff:0.0,rounds_won:5.0,maps_winrate:{d2:0.0}
name:myKPV,win_rate:0.23,avg_rating:0.0,avg_kills:7.06,avg_deaths:6.01,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.05,avg_fkdiff:0.23,rounds_won:10.24,maps_winrate:{cch:0.0,ovp:0.0}
name:TLM,win_rate:0.0,avg_rating:0.0,avg_kills:4.0,avg_deaths:7.0,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-3.0,avg_fkdiff:0.0,rounds_won:7.0,maps_winrate:{inf:0.0}
name:HellRaisers,win_rate:0.3,avg_rating:1.08,avg_kills:17.34,avg_deaths:16.69,avg_kast:0.72,avg_adr:74.12,avg_kddiff:0.65,avg_fkdiff:-0.07,rounds_won:11.07,maps_winrate:{inf:0.0,anc:1.0}
name:oBG,win_rate:0.0,avg_rating:0.0,avg_kills:9.2,avg_deaths:7.5,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.7,avg_fkdiff:-0.0,rounds_won:10.5,maps_winrate:{d2:0.0,inf:0.0}
name:GreyFace,win_rate:0.27,avg_rating:0.28,avg_kills:10.47,avg_deaths:11.3,avg_kast:0.18,avg_adr:20.18,avg_kddiff:-0.84,avg_fkdiff:0.16,rounds_won:9.71,maps_winrate:{ovp:0.08}
name:hudzGs TEAM,win_rate:0.25,avg_rating:0.0,avg_kills:7.12,avg_deaths:7.02,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.1,avg_fkdiff:0.25,rounds_won:11.12,maps_winrate:{nuke:0.0,d2:0.0}
name:HR.mix,win_rate:0.4,avg_rating:0.0,avg_kills:11.4,avg_deaths:11.0,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.4,avg_fkdiff:-0.04,rounds_won:16.4,maps_winrate:{d2:0.5}
name:LANKLAN,win_rate:0.0,avg_rating:0.0,avg_kills:10.6,avg_deaths:8.8,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.8,avg_fkdiff:0.9,rounds_won:11.5,maps_winrate:{d2:0.0,mrg:0.0}
name:OneShot,win_rate:0.25,avg_rating:0.0,avg_kills:8.8,avg_deaths:7.33,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.47,avg_fkdiff:0.57,rounds_won:11.5,maps_winrate:{d2:0.0,inf:1.0}
name:denied,win_rate:0.25,avg_rating:0.0,avg_kills:9.05,avg_deaths:10.85,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-1.8,avg_fkdiff:-0.0,rounds_won:9.75,maps_winrate:{mrg:0.0,d2:1.0}
name:Hashtag,win_rate:0.5,avg_rating:0.0,avg_kills:10.88,avg_deaths:10.1,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.78,avg_fkdiff:-0.08,rounds_won:13.0,maps_winrate:{mrg:0.0,trn:1.0}
name:ALLIN,win_rate:0.39,avg_rating:0.64,avg_kills:12.69,avg_deaths:14.08,avg_kast:0.45,avg_adr:50.01,avg_kddiff:-1.39,avg_fkdiff:0.19,rounds_won:11.04,maps_winrate:{cch:0.0,d2:0.8}
